Date,Platform,Post_Id,Post_Type,Likes,Shares,Comments,Engagement_Rate,Impressions,Reach,Follower_Count
2024-01-01,Twitter,14578,Image,100,40,,0.12,500,50,100
2024-01-02,Facebook,14579,Video,50,20,,0.13,1000,100,200
2024-01-03,Instagram,14580,Text,50,40,,0.14,1500,150,300
2024-01-04,Snapchat,14581,Poetry,200,10,,0.15,2000,200,400
2024-01-05,Twitter,14582,Image,100,10,,0.16,2500,250,500
2024-01-06,Facebook,14583,Video,200,20,,0.17,3000,300,600
2024-01-07,Instagram,14584,Text,100,20,,0.18,3500,350,700
2024-01-08,Snapchat,14585,Poetry,50,40,,0.19,4000,400,800
2024-01-09,Twitter,14586,Image,100,50,,0.2,4500,450,900
2024-01-10,Facebook,14587,Video,100,40,,0.21,5000,500,1000
2024-01-11,Instagram,14588,Text,100,10,,0.22,5500,550,1100
2024-01-12,Snapchat,14589,Poetry,50,20,,0.23,6000,600,1200
2024-01-13,Twitter,14590,Image,100,50,,0.24,6500,650,1300
2024-01-14,Facebook,14591,Video,200,40,,0.25,7000,700,1400
2024-01-15,Instagram,14592,Text,100,50,,0.26,7500,750,1500
2024-01-16,Snapchat,14593,Poetry,200,10,,0.27,8000,800,1600
2024-01-17,Twitter,14594,Image,100,10,,0.28,8500,850,1700
2024-01-18,Facebook,14595,Video,200,20,,0.29,9000,900,1800
2024-01-19,Instagram,14596,Text,50,40,,0.3,9500,950,1900
2024-01-20,Snapchat,14597,Poetry,50,50,,0.31,10000,1000,2000
2024-01-21,Twitter,14598,Image,50,10,,0.32,10500,1050,2100
2024-01-22,Facebook,14599,Video,50,40,,0.33,11000,1100,2200
2024-01-23,Instagram,14600,Text,50,10,,0.34,11500,1150,2300
2024-01-24,Snapchat,14601,Poetry,50,20,,0.35,12000,1200,2400
2024-01-25,Twitter,14602,Image,50,20,,0.36,12500,1250,2500
2024-01-26,Facebook,14603,Video,50,10,,0.37,13000,1300,2600
2024-01-27,Instagram,14604,Text,50,30,,0.38,13500,1350,2700
2024-01-28,Snapchat,14605,Poetry,50,40,,0.39,14000,1400,2800
2024-01-29,Twitter,14606,Image,100,50,,0.4,14500,1450,2900
2024-01-30,Facebook,14607,Video,100,60,,0.41,15000,1500,3000
2024-01-31,Instagram,14608,Text,100,40,,0.42,15500,1550,3100
2024-02-01,Snapchat,14609,Poetry,100,10,,0.43,16000,1600,3200
2024-02-02,Twitter,14610,Image,100,40,,0.44,16500,1650,3300
2024-02-03,Facebook,14611,Video,100,50,,0.45,17000,1700,3400
2024-02-04,Instagram,14612,Text,200,40,,0.46,17500,1750,3500
2024-02-05,Snapchat,14613,Poetry,200,50,,0.47,18000,1800,3600
2024-02-06,Twitter,14614,Image,200,40,,0.48,18500,1850,3700
2024-02-07,Facebook,14615,Video,200,10,,0.49,19000,1900,3800
2024-02-08,Instagram,14616,Text,200,20,,0.5,19500,1950,3900
2024-02-09,Snapchat,14617,Poetry,200,10,,0.51,20000,2000,4000
2024-02-10,Twitter,14618,Image,200,20,,0.52,20500,2050,4100
2024-02-11,Facebook,14619,Video,200,30,,0.53,21000,2100,4200
2024-02-12,Instagram,14620,Text,200,20,,0.54,21500,2150,4300
2024-02-13,Snapchat,14621,Poetry,200,20,,0.55,22000,2200,4400
2024-02-14,Twitter,14622,Image,100,10,,0.56,22500,2250,4500
2024-02-15,Facebook,14623,Video,100,50,,0.57,23000,2300,4600
2024-02-16,Instagram,14624,Text,100,60,,0.58,23500,2350,4700
2024-02-17,Snapchat,14625,Poetry,100,20,,0.59,24000,2400,4800
2024-02-18,Twitter,14626,Image,100,10,,0.6,24500,2450,4900
2024-02-19,Facebook,14627,Video,50,30,,0.61,25000,2500,5000
2024-02-20,Instagram,14628,Text,50,50,,0.62,25500,2550,5100
2024-02-21,Snapchat,14629,Poetry,50,10,,0.63,26000,2600,5200
2024-02-22,Twitter,14630,Image,50,20,,0.64,26500,2650,5300
2024-02-23,Facebook,14631,Video,150,10,,0.65,27000,2700,5400
2024-02-24,Instagram,14632,Text,150,20,,0.66,27500,2750,5500
2024-02-25,Snapchat,14633,Poetry,150,10,,0.67,28000,2800,5600
2024-02-26,Twitter,14634,Image,150,20,,0.68,28500,2850,5700
2024-02-27,Facebook,14635,Video,150,30,,0.69,29000,2900,5800
2024-02-28,Instagram,14636,Text,150,20,,0.7,29500,2950,5900
2024-02-29,Snapchat,14637,Poetry,100,10,,0.71,30000,3000,6000
2024-03-01,Twitter,14638,Image,100,20,,0.72,30500,3050,6100
2024-03-02,Facebook,14639,Video,50,20,,0.73,31000,3100,6200
2024-03-03,Instagram,14640,Text,50,10,,0.74,31500,3150,6300
2024-03-04,Snapchat,14641,Poetry,50,10,,0.75,32000,3200,6400
2024-03-05,Twitter,14642,Image,50,10,,0.76,32500,3250,6500
2024-03-06,Facebook,14643,Video,50,10,,0.77,33000,3300,6600
2024-03-07,Instagram,14644,Text,50,10,,0.78,33500,3350,6700
2024-03-08,Snapchat,14645,Poetry,100,20,,0.79,34000,3400,6800
2024-03-09,Twitter,14646,Image,100,30,,0.8,34500,3450,6900
2024-03-10,Facebook,14647,Video,200,20,,0.81,35000,3500,7000
2024-03-11,Instagram,14648,Text,200,20,,0.82,35500,3550,7100
2024-03-12,Snapchat,14649,Poetry,50,10,,0.83,36000,3600,7200
2024-03-13,Twitter,14650,Image,100,30,,0.84,36500,3650,7300
2024-03-14,Facebook,14651,Video,150,50,,0.85,37000,3700,7400
2024-03-15,Instagram,14652,Text,150,40,,0.86,37500,3750,7500
2024-03-16,Snapchat,14653,Poetry,150,20,,0.87,38000,3800,7600
2024-03-17,Twitter,14654,Image,150,20,,0.88,38500,3850,7700
2024-03-18,Facebook,14655,Video,100,30,,0.89,39000,3900,7800
2024-03-19,Instagram,14656,Text,100,40,,0.9,39500,3950,7900
2024-03-20,Snapchat,14657,Poetry,200,50,,0.91,40000,4000,8000
2024-03-21,Twitter,14658,Image,200,50,,0.92,40500,4050,8100
2024-03-22,Facebook,14659,Video,200,50,,0.93,41000,4100,8200
2024-03-23,Instagram,14660,Text,150,50,,0.94,41500,4150,8300
2024-03-24,Snapchat,14661,Poetry,150,50,,0.95,42000,4200,8400
2024-03-25,Twitter,14662,Image,50,40,,0.96,42500,4250,8500
2024-03-26,Facebook,14663,Video,50,10,,0.97,43000,4300,8600
2024-03-27,Instagram,14664,Text,50,20,,0.98,43500,4350,8700
2024-03-28,Snapchat,14665,Poetry,50,20,,0.99,44000,4400,8800
2024-03-29,Twitter,14666,Image,50,50,,1,44500,4450,8900
2024-03-30,Facebook,14667,Video,50,60,,1.01,45000,4500,9000
2024-03-31,Instagram,14668,Text,50,40,,1.02,45500,4550,9100
2024-04-01,Snapchat,14669,Poetry,50,50,,1.03,46000,4600,9200
2024-04-02,Twitter,14670,Image,50,50,,1.04,46500,4650,9300
2024-04-03,Facebook,14671,Video,50,10,,1.05,47000,4700,9400
2024-04-04,Instagram,14672,Text,50,30,,1.06,47500,4750,9500
2024-04-05,Snapchat,14673,Poetry,100,20,,1.07,48000,4800,9600
2024-04-06,Twitter,14674,Image,100,20,,1.08,48500,4850,9700
2024-04-07,Facebook,14675,Video,100,10,,1.09,49000,4900,9800
2024-04-08,Instagram,14676,Text,100,30,,1.1,49500,4950,9900
2024-04-09,Snapchat,14677,Poetry,100,20,,1.11,50000,5000,10000
2024-04-10,Twitter,14678,Image,150,10,,1.12,50500,5050,10100
2024-04-11,Facebook,14679,Video,150,20,,1.13,51000,5100,10200
2024-04-12,Instagram,14680,Text,150,50,,1.14,51500,5150,10300
2024-04-13,Snapchat,14681,Poetry,150,10,,1.15,52000,5200,10400
2024-04-14,Twitter,14682,Image,150,50,,1.16,52500,5250,10500
2024-04-15,Facebook,14683,Video,150,10,,1.17,53000,5300,10600
2024-04-16,Instagram,14684,Text,150,30,,1.18,53500,5350,10700
2024-04-17,Snapchat,14685,Poetry,150,40,,1.19,54000,5400,10800
2024-04-18,Twitter,14686,Image,150,50,,1.2,54500,5450,10900
2024-04-19,Facebook,14687,Video,100,10,,1.21,55000,5500,11000
2024-04-20,Instagram,14688,Text,200,20,,1.22,55500,5550,11100
2024-04-21,Snapchat,14689,Poetry,200,50,,1.23,56000,5600,11200
2024-04-22,Twitter,14690,Image,200,40,,1.24,56500,5650,11300
2024-04-23,Facebook,14691,Video,200,60,,1.25,57000,5700,11400
2024-04-24,Instagram,14692,Text,200,10,,1.26,57500,5750,11500
2024-04-25,Snapchat,14693,Poetry,100,20,,1.27,58000,5800,11600
2024-04-26,Twitter,14694,Image,200,50,,1.28,58500,5850,11700
2024-04-27,Facebook,14695,Video,50,60,,1.29,59000,5900,11800
2024-04-28,Instagram,14696,Text,50,40,,1.3,59500,5950,11900
2024-04-29,Snapchat,14697,Poetry,100,60,,1.31,60000,6000,12000
2024-04-30,Twitter,14698,Image,100,20,,1.32,60500,6050,12100
2024-05-01,Facebook,14699,Video,50,10,,1.33,61000,6100,12200
2024-05-02,Instagram,14700,Text,50,10,,1.34,61500,6150,12300
2024-05-03,Snapchat,14701,Poetry,50,20,,1.35,62000,6200,12400
2024-05-04,Twitter,14702,Image,150,40,,1.36,62500,6250,12500
2024-05-05,Facebook,14703,Video,150,50,,1.37,63000,6300,12600
2024-05-06,Instagram,14704,Text,150,60,,1.38,63500,6350,12700
2024-05-07,Snapchat,14705,Poetry,100,10,,1.39,64000,6400,12800
2024-05-08,Twitter,14706,Image,100,50,,1.4,64500,6450,12900
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
